event_id,company_name,category,severity,confidence,published_at,country,source,description
EVT-1129,Silverline Telecom,Financial,3,0.5,12-07-2026,United States,Industry Watch Daily,Quarterly results showed a shortfall of a mid-eight-figure sum against guidance.
,Aurora  Energy  Partners,leadership,3,0.63,2026/07/10 16:48,Germany,Regional Trade Wire,The chief technology officer was placed on administrative leave.
EVT-1075,Vantage Auto Motors,fraud_reputation,2,0.68,2026-06-01T12:00:00Z,Australia,National Filings Registry,Invoice discrepancies were discovered in a subsidiary ledger.
EVT-1017,Obsidian Mining,legal_regulatory,5,0.89,2026-07-02T03:55:00Z,GERMANY,Industry Watch Daily,A regulator opened a formal inquiry into disclosure practices at the company.
EVT-1028,Sable Pharmaceuticals,LEADERSHIP_CHANGE,4,0.92,2026/07/20 19:48,Singapore,Industry Watch Daily,The head of operations resigned with immediate effect.
EVT-1001,Cobalt Financial Group,FRAUD,5,0.83,23 Jul 2026,Japan,Market Signals Digest,An internal review identified irregular vendor payments of an undisclosed amount.
EVT-1117,Kestrel Airlines,cybersecurity,1,0.07,05 Jul 2026,Singapore,Public Business Monitor,A denial-of-service attack disrupted the payments reconciliation service for several hours.
EVT-1050,Quantum Payments,financial,3,0.73,2026/07/19 06:55,United Arab Emirates,,Working capital pressure was cited alongside a writedown of close to 8 million dollars.
EVT-1011,Obsidian Mining,fraud_reputation,5,0.88,08 Jul 2026,Germany,National Filings Registry,A former employee alleged falsification of performance records.
EVT-1111,Riverstone Hospitality,leadership,3,0.31,"February 18, 2026",Singapore,Industry Watch Daily,The head of operations resigned with immediate effect.
EVT-1140,Peregrine Capital Ltd.,REGULATORY,1,0.83,2026/06/28 10:48,USA,Industry Watch Daily, A penalty was imposed following an inspection of compliance records.
EVT-1056,Quantum Payments,cybersecurity,2,0.71,2026-07-21T09:48:00Z,United Arab Emirates,Open Corporate Records,A denial-of-service attack disrupted an internal billing platform for several hours.
EVT-1034,Meridian Health Systems,cybersecurity,1,0.89,2026-07-10T05:45:00Z,Australia,Global Risk Feed,The company confirmed a data breach originating from a third-party analytics vendor.
EVT-1014,Obsidian Mining,legal-regulatory,3,0.85,30 Apr 2026,Singapore,Global Risk Feed,An environmental clearance for a facility was placed under review.
EVT-1041,Peregrine Capital,LEADERSHIP_CHANGE,5,0.75,2026/07/05 17:15,Germany,Global Risk Feed,The chief technology officer resigned with immediate effect.
EVT-1084,Orchid Textiles,LEADERSHIP_CHANGE,5,0.86,"June 29, 2026",India,Regional Trade Wire,The chief compliance officer resigned with immediate effect.
EVT-1080,Cedarwood Foods,legal_regulatory,2,0.75,2026-06-29 15:15:00,India,Global Risk Feed,An environmental clearance for a facility was placed under review.
EVT-1059,Zephyr Chemicals,fraud_reputation,3,0.89,2026-06-15T10:55:00Z,Germany,Industry Watch Daily,A former employee alleged falsification of performance records.
EVT-1100,Trident Marine Services,fraud_reputation,3,0.38,2026-04-18T16:45:00Z,United States,Public Business Monitor,An internal review identified irregular vendor payments of an undisclosed amount.
EVT-1006,Cobalt Financial Group,financial,4,0.97,2026-05-17T12:45:00Z,GERMANY,Open Corporate Records,Quarterly results showed a shortfall of an undisclosed amount against guidance.
EVT-1115,Kestrel Airlines,cybersecurity,2,0.58,2026/06/08 11:55,Japan,Open Corporate Records,A ransomware incident affecting the employee records system was disclosed by the company.
EVT-1019,Helios Semiconductors,legal_regulatory,5,0.92,2026/07/23 06:45,Germany,Global Risk Feed,The company disclosed an ongoing tax assessment dispute.
EVT-1113,Riverstone Hospitality,supply_chain,2,0.65,2026-03-25T21:45:00Z,Singapore,Public Business Monitor,A logistics contract covering the eastern hub was terminated early.
EVT-1109,Riverstone Hospitality,fraud_reputation,3,0.63,"March 25, 2026",Singapore,Global Risk Feed,An internal review identified irregular vendor payments of close to 8 million dollars.
EVT-1141,COBALT FINANCIAL GROUP,reputation,3,0.93,25 Mar 2026,Germany,National Filings Registry,allegations of misleading marketing claims drew public criticism.
EVT-1035,Meridian Health Systems,supply chain,3,0.64,2026/07/19 20:15,uk,Market Signals Digest,Flooding in the coastal region damaged warehousing capacity.
EVT-1065,Aurora Energy Partners,fraud_reputation,3,0.74,2026/07/10 10:55,Germany,Regional Trade Wire,Allegations of misleading marketing claims drew public criticism.
EVT-1030,Ironvale Steelworks,supply_chain,4,0.95,2026-07-10T17:30:00Z,United States,Market Signals Digest,Flooding in the border region damaged warehousing capacity.
EVT-1051,Quantum Payments,leadership,2,0.76,27 Jun 2026,United Arab Emirates,Open Corporate Records,The chief technology officer stepped down pending an internal review.
EVT-1044,Peregrine Capital,legal_regulatory,4,0.11,2026-07-10T22:55:00Z,Singapore,Industry Watch Daily,The company received a show-cause notice from a sectoral authority.
EVT-1148,Peregrine Capital,fraud_reputation,5,1.4,2026-06-13T04:45:00Z,India,Regional Trade Wire,Whistleblower allegations of expense irregularities were made public.
EVT-1150,Cedarwood Foods,financial,4,0.7,not-a-date,United States,Public Business Monitor,A credit rating agency revised the outlook to negative.
,Zephyr Chemicals,supply_chain,2,0.85,12-07-2026,United Arab Emirates,Market Signals Digest,Flooding in the coastal region damaged warehousing capacity.
EVT-1057,Zephyr Chemicals,legal_regulatory,4,0.75,2026-07-18T22:15:00Z,United Arab Emirates,Market Signals Digest,The company received a show-cause notice from a sectoral authority.
